date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:25:31	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:43:48%20GMT	http://www.smarttemplates.net/robots.txt		(from )
00:25:31	26853/26853	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20Aug%202018%2013:56:35%20GMT	http://www.smarttemplates.net/lateral/Demo02/	C:/My%20Web%20Sites/ownSoftw/www.smarttemplates.net/lateral/Demo02/index.html	(from )
00:25:32	22252/22252	---M--	200	added ('OK')	text/css	date:Sun,%2010%20Jun%202018%2015:43:15%20GMT	http://www.smarttemplates.net/lateral/Demo02/css/swiper.css	C:/My%20Web%20Sites/ownSoftw/www.smarttemplates.net/lateral/Demo02/css/swiper.css	(from http://www.smarttemplates.net/lateral/Demo02/)
00:25:36	62724/62724	---M--	200	added ('OK')	text/css	date:Mon,%2027%20Aug%202018%2013:56:35%20GMT	http://www.smarttemplates.net/lateral/Demo02/style.css	C:/My%20Web%20Sites/ownSoftw/www.smarttemplates.net/lateral/Demo02/style.css	(from http://www.smarttemplates.net/lateral/Demo02/)
00:25:36	26853/26853	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20Aug%202018%2013:56:35%20GMT	http://www.smarttemplates.net/lateral/Demo02/index.html	C:/My%20Web%20Sites/ownSoftw/www.smarttemplates.net/lateral/Demo02/index-2.html	(from http://www.smarttemplates.net/lateral/Demo02/)
00:25:42	39823/39823	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Jun%202018%2015:43:21%20GMT	http://www.smarttemplates.net/lateral/Demo02/images/desktop-frame-about.png	C:/My%20Web%20Sites/ownSoftw/www.smarttemplates.net/lateral/Demo02/images/desktop-frame-about.png	(from http://www.smarttemplates.net/lateral/Demo02/)
00:25:42	658/658	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Jun%202018%2015:43:37%20GMT	http://www.smarttemplates.net/lateral/Demo02/images/icons/icons-64-violet/responsive-64.png	C:/My%20Web%20Sites/ownSoftw/www.smarttemplates.net/lateral/Demo02/images/icons/icons-64-violet/responsive-64.png	(from http://www.smarttemplates.net/lateral/Demo02/)
00:25:43	858/858	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Jun%202018%2015:43:33%20GMT	http://www.smarttemplates.net/lateral/Demo02/images/icons/icons-64-violet/desktop-chart-64.png	C:/My%20Web%20Sites/ownSoftw/www.smarttemplates.net/lateral/Demo02/images/icons/icons-64-violet/desktop-chart-64.png	(from http://www.smarttemplates.net/lateral/Demo02/)
00:25:44	731/731	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Jun%202018%2015:43:32%20GMT	http://www.smarttemplates.net/lateral/Demo02/images/icons/icons-64-violet/browser-64.png	C:/My%20Web%20Sites/ownSoftw/www.smarttemplates.net/lateral/Demo02/images/icons/icons-64-violet/browser-64.png	(from http://www.smarttemplates.net/lateral/Demo02/)
00:25:44	1220/1220	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Jun%202018%2015:43:40%20GMT	http://www.smarttemplates.net/lateral/Demo02/images/icons/icons-64-violet/users-64.png	C:/My%20Web%20Sites/ownSoftw/www.smarttemplates.net/lateral/Demo02/images/icons/icons-64-violet/users-64.png	(from http://www.smarttemplates.net/lateral/Demo02/)
00:25:44	46449/46449	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Jun%202018%2015:43:21%20GMT	http://www.smarttemplates.net/lateral/Demo02/images/desktop-frame-about-2.png	C:/My%20Web%20Sites/ownSoftw/www.smarttemplates.net/lateral/Demo02/images/desktop-frame-about-2.png	(from http://www.smarttemplates.net/lateral/Demo02/)
00:25:45	1119/1119	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Jun%202018%2015:43:38%20GMT	http://www.smarttemplates.net/lateral/Demo02/images/icons/icons-64-violet/security-64.png	C:/My%20Web%20Sites/ownSoftw/www.smarttemplates.net/lateral/Demo02/images/icons/icons-64-violet/security-64.png	(from http://www.smarttemplates.net/lateral/Demo02/)
